year,state,dem_cand,dem_vote,rep_cand,rep_vote,tot_state_vote
2000,Alaska,"Gore, Al",79004,"Bush, George W.",167398,285560
2000,Arizona,"Gore, Al",685341,"Bush, George W.",781652,1532016
2000,Arkansas,"Gore, Al",422768,"Bush, George W.",472940,921781
2000,California,"Gore, Al",5861203,"Bush, George W.",4567429,10965822
2000,Colorado,"Gore, Al",738227,"Bush, George W.",883748,1741368
2000,Connecticut,"Gore, Al",816015,"Bush, George W.",561094,1459525
2000,Delaware,"Gore, Al",180068,"Bush, George W.",137288,327529
2000,District of Columbia,"Gore, Al",171923,"Bush, George W.",18073,201894
2000,Florida,"Gore, Al",2912253,"Bush, George W.",2912790,5963110
2000,Georgia,"Gore, Al",1116230,"Bush, George W.",1419720,2583208
2000,Hawaii,"Gore, Al",205286,"Bush, George W.",137845,367951
2000,Idaho,"Gore, Al",138637,"Bush, George W.",336937,501615
2000,Illinois,"Gore, Al",2589026,"Bush, George W.",2019421,4742108
2000,Indiana,"Gore, Al",901980,"Bush, George W.",1245836,2199302
2000,Iowa,"Gore, Al",638517,"Bush, George W.",634373,1353022
2000,Kansas,"Gore, Al",399276,"Bush, George W.",622332,1072216
2000,Kentucky,"Gore, Al",638923,"Bush, George W.",872520,1544106
2000,Louisiana,"Gore, Al",792344,"Bush, George W.",927871,1765656
2000,Maine,"Gore, Al",319951,"Bush, George W.",286616,651817
2000,Maryland,"Gore, Al",1144008,"Bush, George W.",813827,2025212
2000,Massachusetts,"Gore, Al",1616487,"Bush, George W.",878502,2733964
2000,Michigan,"Gore, Al",2170418,"Bush, George W.",1953139,4232501
2000,Minnesota,"Gore, Al",1168266,"Bush, George W.",1109659,2438685
2000,Mississippi,"Gore, Al",404614,"Bush, George W.",572844,994184
2000,Missouri,"Gore, Al",1111138,"Bush, George W.",1189924,2359892
2000,Montana,"Gore, Al",137126,"Bush, George W.",240178,410986
2000,Nebraska,"Gore, Al",231780,"Bush, George W.",433862,697019
2000,Nevada,"Gore, Al",279978,"Bush, George W.",301575,609426
2000,New Hampshire,"Gore, Al",266348,"Bush, George W.",273559,569081
2000,New Jersey,"Gore, Al",1788850,"Bush, George W.",1284173,3187226
2000,New Mexico,"Gore, Al",286783,"Bush, George W.",286417,598605
2000,New York,"Gore, Al",3942215,"Bush, George W.",2258577,6960215
2000,North Carolina,"Gore, Al",1257692,"Bush, George W.",1631163,2914990
2000,North Dakota,"Gore, Al",95284,"Bush, George W.",174852,288256
2000,Ohio,"Gore, Al",2183628,"Bush, George W.",2350363,4701998
2000,Oklahoma,"Gore, Al",474276,"Bush, George W.",744337,1234229
2000,Oregon,"Gore, Al",720342,"Bush, George W.",713577,1533950
2000,Pennsylvania,"Gore, Al",2485967,"Bush, George W.",2281127,4912185
2000,Rhode Island,"Gore, Al",249508,"Bush, George W.",130555,409112
2000,South Carolina,"Gore, Al",566037,"Bush, George W.",786892,1383902
2000,South Dakota,"Gore, Al",118804,"Bush, George W.",190700,316269
2000,Tennessee,"Gore, Al",981720,"Bush, George W.",1061949,2076181
2000,Texas,"Gore, Al",2433746,"Bush, George W.",3799639,6407637
2000,Utah,"Gore, Al",203053,"Bush, George W.",515096,770754
2000,Vermont,"Gore, Al",149022,"Bush, George W.",119775,294308
2000,Virginia,"Gore, Al",1217290,"Bush, George W.",1437490,2739447
2000,Washington,"Gore, Al",1247652,"Bush, George W.",1108864,2487433
2000,West Virginia,"Gore, Al",295497,"Bush, George W.",336475,648124
2000,Wisconsin,"Gore, Al",1242987,"Bush, George W.",1237279,2598607
2000,Wyoming,"Gore, Al",60481,"Bush, George W.",147947,213726
2004,Alabama,"Kerry, John",693933,"Bush, George W.",1176394,1883415
2004,Alaska,"Kerry, John",111025,"Bush, George W.",190889,312598
2004,Arizona,"Kerry, John",893524,"Bush, George W.",1104294,2012585
2004,Arkansas,"Kerry, John",469953,"Bush, George W.",572898,1054945
2004,California,"Kerry, John",6745485,"Bush, George W.",5509826,12421353
2004,Colorado,"Kerry, John",1001732,"Bush, George W.",1101255,2129630
2004,Connecticut,"Kerry, John",857488,"Bush, George W.",693826,1578769
2004,Delaware,"Kerry, John",200152,"Bush, George W.",171660,375190
2004,District of Columbia,"Kerry, John",202970,"Bush, George W.",21256,227586
2004,Florida,"Kerry, John",3583544,"Bush, George W.",3964522,7609810
2004,Georgia,"Kerry, John",1366149,"Bush, George W.",1914254,3301875
2004,Hawaii,"Kerry, John",231708,"Bush, George W.",194191,429013
2004,Idaho,"Kerry, John",181098,"Bush, George W.",409235,598376
2004,Illinois,"Kerry, John",2891550,"Bush, George W.",2345946,5274322
2004,Indiana,"Kerry, John",969011,"Bush, George W.",1479438,2468002
